IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300013296,Host-associated,Plants,382176,26306,8819,31852,22.92010495
3300018032,Terrestrial,Soil,465991,1613,498,1854,22.90951513
3300014201,Aquatic,Freshwater,474386,2795,1039,3435,22.90684343
3300026291,Terrestrial,Soil,462695,23310,3608,25528,22.88691523
3300009709,Host-associated,Plants,468920,8685,12870,18485,22.87451998
3300025234,Aquatic,Marine,366645,144660,80852,177332,22.86339691
3300027506,Aquatic,Marine,415419,143020,57432,150237,22.86106013
3300023256,Aquatic,Non-marine Saline and Alkaline,478840,29064,394,29116,22.84111276
3300017970,Terrestrial,Soil,474502,2440,831,2840,22.83976377
3300024306,Aquatic,Freshwater,464854,57425,7052,59273,22.82970438
3300025598,Aquatic,Freshwater,417660,28971,3917,31600,22.82970236
3300025262,Aquatic,Marine,382834,169621,116323,194309,22.80910252
3300027891,Host-associated,Arthropoda,384000,2964,739,3388,22.79582833
3300027849,Aquatic,Marine,433720,38190,17046,49218,22.79211142
3300025840,Aquatic,Marine,450300,47542,7422,52625,22.76220084
3300027726,Aquatic,Freshwater,455541,12433,2678,14325,22.75998606
3300025419,Aquatic,Freshwater,457725,168652,710,168984,22.75517775
3300012953,Aquatic,Marine,449077,17744,12752,20802,22.75133362
3300027956,Aquatic,Freshwater,445740,12548,1918,14099,22.72410579
3300027972,Aquatic,Freshwater,461449,17605,3432,20170,22.71949643
3300027230,Aquatic,Marine,397397,57763,13997,62403,22.70193575
3300025504,Terrestrial,Soil,227019,7443,945,8062,22.69104201
3300025778,Aquatic,Freshwater,447546,52218,4350,55416,22.68436293
3300024528,Aquatic,Marine,474098,14760,2562,15917,22.67967775
3300027314,Aquatic,Marine,460817,133308,16524,141464,22.66889371
3300024505,Aquatic,Freshwater,466358,52310,13794,59734,22.66713447
3300013097,Aquatic,Freshwater,445389,17043,11245,25019,22.65598481
3300019756,Aquatic,Freshwater,472200,42818,6207,46640,22.65324037
3300009789,Terrestrial,Soil,456715,7239,4168,10878,22.63937171
3300023112,Aquatic,Marine,478501,8118,2700,9605,22.6338968
3300023022,Host-associated,Mammals,482035,42414,4508,44502,22.62802957
3300027648,Terrestrial,Soil,234049,4779,545,5137,22.61611209
3300006237,Host-associated,Plants,458643,19255,6508,24125,22.61147887
3300027219,Aquatic,Marine,463656,157980,23812,167770,22.60797612
3300025585,Aquatic,Marine,451784,44420,10805,52258,22.5877454
3300002153,Aquatic,Marine,371559,16752,7822,20810,22.57430993
3300024355,Aquatic,Freshwater,472833,64431,8486,66302,22.57145793
3300002185,Host-associated,Arthropoda,335744,2592,802,3072,22.57059519
3300027637,Terrestrial,Soil,346344,4644,3905,8229,22.56798285
3300025387,Aquatic,Freshwater,453779,81969,5820,85952,22.56188618
3300026189,Aquatic,Marine,454140,20862,24483,31374,22.56029234
3300027019,Terrestrial,Soil,98508,8907,1035,9717,22.54758611
3300014205,Engineered,Solid waste,463217,13365,11554,21193,22.54663846
3300012954,Aquatic,Marine,460568,28280,16538,38203,22.54620331
3300024352,Aquatic,Freshwater,468236,49625,12441,56992,22.54023159
